"Table 5.8: Details of Hekatuwa wewa related improvement cost in MWS-020-2","","",""
"Name","Work description","Location","Amount  LKR"
"Hekatuwa wewa","1. Dense planting of mixed vegetation comprising Agave /Kumbuk/Mee/Madan/ Nelli /Durian/Mandarin/Orange/Avocado/ Guava/Mango/Aththikka/Wal del/Kekuna etc. randomly mixed seedlings at 500 mm grid intervals for 300 m2. &. Apply mulching, organic manure, and NPK fertilizer.

2. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 200 m2and a row of Areca nut trees.
3. Maintain for six months and continue watering for one year as required. 
4.Replace 225mm diameter cast iron sluice gate with lifting device. (DAD L01 and labour)
5. Spill raising by 300mm by 10m long X 300mm x300mm concrete beam
6. Construction of three numbers of 3mx2mx1m rubble boulder dams (SABO)","Around Tanks peripheral","193,200







64,800


36,000

159,000

80,400

324,000"
"Contingencies (10%)","85,800",,
"Total","943,800",,
