"Table 5.50: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency  GoSL","Final cost to LA  GoSL  Rs"
"Improvement of Cultivation practices of Bitter gourd 3 farmers with 1/4 ac)","Soil testing",,"3","290","870.00","100%","870.00"
,"supply of Plant covers (0.8\"x200m",,"6","15000","90,000.00","100%","90,000.00"
,"supply of fruit covers",,"15","2400","36,000.00","100%","36,000.00"
,"Supply of Insect Proof nets (3mx50m)",,"6","30,000","180,000.00","75%","135,000.00"
,"supply of Cruiser as seed Treatments (5g Packs)",,"2","900","1,800.00","100%","1,800.00"
,"Supply of Bio films (500ml) bottles",,"10","1,250","12,500.00","100%","12,500.00"
,"Supply of Trichoderma (1-liter bottles)",,"6","1,000","6,000.00","100%","6,000.00"
"Improvement of Cultivation Practices of Tomato (3 Farmers with 1/4 ac)","Soil testing",,"3","290","870.00","100%","870.00"
,"supply of Plant covers (0.8\"x200m",,"6","15000","90,000.00","100%","90,000.00"
,"Supply of Trichoderma (1-liter bottles)",,"6","1,000","6,000.00","100%","6,000.00"
,"Supply of Seedling trays with 72 holes",,"30","150","4,500.00","100%","4,500.00"
,"Supply of organic Pesticides",,"3","500","1,500.00","100%","1,500.00"
,"Supply of plastic Crates (Medium size)",,"15","4,000","60,000.00","75%","45,000.00"
,"Pheromone Traps for Tuta",,"3","900","2,700.00","100%","2,700.00"
,"yellow bulb system",,"1","90,000","90,000.00","75%","67,500.00"
"Supply of Agricultural Machineries and Equipment","Supply of Agri Fence",,"30","7500","225,000.00","75%","168,750.00"
,"Supply of Water Pumps (Robin)",,"3","70,000","210,000.00","75%","157,500.00"
"Export Crops","Coffee","Dimbulkumbura- 100 Udagalauda-1500","1600","30","48000.00","100%","48,000.00"
,"Pepper","Dimbulkumbura- 200 Ediribedda-200 Udagalauda-500","900","40","36000.00","100%","36,000.00"
,"Vanila","Ediribedda-200","2000","40","80000.00","100%","80,000.00"
"Livestock","No of cow","Dimbulkumbura- 5 Udagalauda-5","10","250,000.00","2500000.00","50%","1,250,000.00"
,"No of goat","Dimbulkumbura- 5 Udagalauda-4","9","40,000.00","360000.00","50%","180,000.00"
,"No of chicks","Dimbulkumbura- 10 Ediribedda-5 Udagalauda-20","35","1,500.00","52500.00","50%","26,250.00"
,"No of sheds - cow","Dimbulkumbura- 4 Udagalauda-4","8","300,000.00","2400000.00","50%","1,200,000.00"
,"No of sheds - goat","Dimbulkumbura- 3 Udagalauda-1","4","150,000.00","600000.00","50%","300,000.00"
"Protected Agriculture","Polytunnel","Dimbulkumbura- 3 Ediribedda-2 Udagalauda-2","7","1,300,000.00","9100000.00","50%","4,550,000.00"
,"Black Pepper making machines (Balancing kit)","Udagalauda -1","1","10,000.00","10000.00","50%","5,000.00"
,"Curry powder grinding","Ediribedda -1","1","120,000.00","120000.00","50%","60,000.00"
,"Jackfruit drying machines","Ediribedda-1","1","850,000.00","850000.00","50%","425,000.00"
,"Areca nut slicing machines","Ediribedda-1","1","150,000.00","150000.00","50%","75,000.00"
"Total Cost",,,,,"17324240.00",,"9,061,740.00"
