"Table 5.11: Details of reservation improvement for Wilpassa wewa in MWS-020-2","","",""
"Name","Work description","Location","Amount  LKR"
"Wilpassa Wewa","1. Dense planting of mixed vegetation comprising Kumbuk/Mee/ Godapara/Madan /Aththikka/Wal del/Kekuna /Mango/Guava randomly mixed seedlings at 500 mm grid intervals for 500 m2. & Apply mulching, organic manure, and NPK fertilizer.
2. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 400 m2. & Maintain for six months and continue watering for one year as required.
3. Excavate about 150m x 12m x 4m prism towards upstream to enhance the tank capacity (3600cum @631)
4. Transport of an excavator J10A","Around Tanks peripheral","320,400




129,600



2,726,400


24,000"
"Contingencies (10%)","320,040",,
"Total","3,520,440",,
