"Table 5.10: Details of reservation improvement for Mawaramaditta wewa in MWS-020-2","","",""
"Name","Work description","Location","Amount  LKR"
"Mawaramaditta wewa","1. Dense planting of mixed vegetation comprising Kumbuk/Mee/ Godapara/ Madan /Aththikka/Wal del/Kekuna/ Mango/Guava randomly mixed seedlings at 500 mm grid intervals for 400 m2. & Apply mulching, organic manure, and NPK fertilizer.
2. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 200 m2. & Maintain for six months and continue watering for one year as required.
3. Construction of 6000mm x 500mm x 300mm (Grade 25 concrete) capping beam on the spill top anchored with 16mm dia tor steel dowels.
4. Excavate the tank bed area of 2000 m2 to a depth of 750mm (1500 m3) and use part of the material (Cutting, Loading, transporting, spreading, watering, compacting, trimming and forming bund (J01A +J03+J06A+J06B+J08+C12) = @1509 
5. Allow for turfing (D01)","Around Tanks peripheral","256,800





64,800



103,200


2,716,200





177,000"
"Contingencies (10%)","331,800",,
"Total","3,649,800",,
