Activity,Location,Number and Units,Unit Cost (LKR),Cost (LKR),Duration
Conduct awareness programs,"Udagalauda,",4,"20,000","60,000",2024 and 2025
,Madawalathenna,,,,
Establish forest protection action groups (With fire protection items),"Udagalauda,",1,"25,000","25,000",2025
Maintain forest boundaries,Diyathalakanda,Included under MWS-013,,,2025 and 2028
Erect display boards,"Udagalauda,",4 Boards,"20,000","80,000",2025
,Maadawalathenna,,,,
Distribute energy efficient stows,"Udagalauda,",100 units,500,"50,000",2025
,Madawalathenna,,,,
Conversion of exotic plantations into native species,Hanguranketha 7-12 sub block,12.9 ha,"150,000","1,935,000",2026
Maintenance of converted plantations into broad leaved species,Hanguranketha 7-12 sub block,12.9ha,"120,000","1,548,000",2027-2030
Forest restoration,Diyathalakanda,10 ha,"300,000","3,000,000",2026 -2031
Home garden development,Udagalauda,40 home gardens,"4,000","160,000",2025
Total,,,,"6,858,000",
