No.,GN Division No.,GN Division,Land Slides,N or X,E or Y,NBRO Recommendation,Proposed Measures
1,484D,Dimbulkumbura,Landsliding -Kolongas Ella,7.142325,80.801331,NBRO is aware,"The families need to be evacuated, and lands need to be improved with the coordination of NBRO."
3,489B,Uda Galauda,Landsliding - Ihala Gedara,7.161266,80.811379,NBRO is aware,"Constructing a side wall/retaining wall (H - 6 m, W - 1.2 m)"
4,489B,Uda Galauda,Soil sloughing - Uda Galauda Vidyalaya,7.163117,80.815629,Needs NBRO concern,"Constructing a side wall/retaining wall (L- 50 m, H - 4 m)"
