Name,Work description,Location,Amount (LKR)
Mawaramaditta wewa,"1. Dense planting of mixed vegetation comprising Kumbuk/Mee/ Godapara/ Madan /Aththikka/Wal del/Kekuna/ Mango/Guava randomly mixed seedlings at 500 mm grid intervals for 400 m2. & Apply mulching, organic manure, and NPK fertilizer.",Around Tanks peripheral,"214,000"
,"2. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 200 m2. & Maintain for six months and continue watering for one year as required.",,"54,000"
,3. Construction of 6000mm x 500mm x 300mm (Grade 25 concrete) capping beam on the spill top anchored with 16mm dia tor steel dowels.,,"86,000"
,"4. Excavate the tank bed area of 2000 m2 to a depth of 750mm (1500 m3) and use part of the material (Cutting, Loading, transporting, spreading, watering, compacting, trimming and forming bund (J01A +J03+J06A+J06B+J08+C12) = @1509 ",,"2,263,500"
,5. Allow for turfing (D01),,"147,500"
Total,,,"2,765,000"
