"Table 2.3: Monthly average rainfall details of the MWS-020-2",""
"Month","Monthly Rainfall  mm"
"January","257"
"February","144"
"March","111"
"April","185"
"May","124"
"June","53"
"July","62"
"August","72"
"September","101"
"October","257"
"November","337"
"December","379"
"Annual","2082"
