Name,Work description,Location,Amount (LKR)
Wilpassa Wewa,"1. Dense planting of mixed vegetation comprising Kumbuk/Mee/ Godapara/Madan /Aththikka/Wal del/Kekuna /Mango/Guava randomly mixed seedlings at 500 mm grid intervals for 500 m2. & Apply mulching, organic manure, and NPK fertilizer.",Around Tanks peripheral,"267,000"
,"2. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 400 m2. & Maintain for six months and continue watering for one year as required.",,"108,000"
,3. Excavate about 150m x 12m x 4m prism towards upstream to enhance the tank capacity (3600cum @631),,"2,272,000"
,4. Transport of an excavator J10A,,"20,000"
Total,,,"2,667,000"
