Name,Work description,Location,Amount (LKR)
Hekatuwa wewa,"1. Dense planting of mixed vegetation comprising Agave /Kumbuk/Mee/Madan/ Nelli /Durian/Mandarin/Orange/Avocado/ Guava/Mango/Aththikka/Wal del/Kekuna etc. randomly mixed seedlings at 500 mm grid intervals for 300 m2. &. Apply mulching, organic manure, and NPK fertilizer.",Around Tanks peripheral,"161,000"
,"2. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 200 m2and a row of Areca nut trees.",,"54,000"
,3. Maintain for six months and continue watering for one year as required. ,,"30,000"
,4.Replace 225mm diameter cast iron sluice gate with lifting device. (DAD L01 and labour),,"133,000"
,5. Spill raising by 300mm by 10m long X 300mm x300mm concrete beam,,"67,000"
,6. Construction of three numbers of 3mx2mx1m rubble boulder dams (SABO),,"270,000"
Total,,,"715,000"
