Tank name,Land ownership,Location details,Tentative Estimate (LKR)
Hekatuwa Wewa  ,DAD,"7.150099 E, 80.81193 N","715,000.00"
Kondatenna Wewa,DAD,"7.15692  E, 80.81054 N","3,070,500.00"
Mawaramaditta Wewa,DAD,"7.16159  E, 80.8186  N","2,765,000.00"
Wilpassa Wewa,DAD,"7.1596  E, 80.80473  N","2,667,000.00"
Total,,,"9,217,500.00"
