Name,Work description,Location,Amount (LKR)
Kondatenna wewa,"1. Dense planting of mixed vegetation comprising Agave/Kumbuk/Mee/ Godapara/ Madan /Aththikka/Wal del/Kekuna/Mango/ Guava/ Durian/ Avocado/Nutmeg randomly mixed seedlings at 500 mm grid intervals for 1000 m2. &. Apply mulching, organic manure, and NPK fertilizer.",Around Tanks peripheral,"534,000"
,"2. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 200 m2. ",,"54,000"
,3. Plant two lines of Areca nut trees beside the reserve and cultivate pepper an area of around 200 m2.,,"94,000"
,4.Maintain for six months and continue watering for one year as required.,,"75,000"
,5.Labour for removal of Yodha Nidi Kumba for two-year period-allow,,"400,000"
,"6. Excavate and remove sediment deposits and earth of tank bed. (DAD J05A+J06A) Rate @631
Estimated qty 3000 m3",,"1,893,500"
,7.Transport of an excavator J10A,,"20,000"
Total,,,"3,070,500"
