"Table 3.7: Occupational details of the community of MWS-022-1 (GN-wise)","","","","","","","","","",""
"GND No","GND Name","Employment","X","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6"
,,"Government","Forces","Private Sector","Self-Occupied","Agriculture","Foreign Services","Laborer","Estate worker","Unemployment"
"533N","Ragala Watta","71","3","272","40","126","37","630","891","729"
"533J","Ekangapura","2","0","77","49","432","12","410","145","147"
"533O","Brookside","52","1","910","163","286","64","1","511","1527"
,,"125","4","1259","252","844","113","1041","1547","2403"
