"Table 6.40: Potential value-added production","","","","","","",""
"Year","Extent  ha","X","Cost  Rs","Community contribution","Project contribution","NA","NA  1"
,"RP","DP","RP","DP","Total",,"Total"
"2025","16","21.5","10,080,000","1,075,0000","20,830,000","Labour and equipment cost borne by the TSH","20,830,000"
"2026","13.5","18","8,505,000","9,000,000","17,505,000",,"17,505,000"
"2027","11.5","14.5","7,245,000","7,250,000","14,495,000",,"14,495,000"
,,,,"Total",,"52,830,000",
