"Table 6.30: Causes of forest fires in the MWS-022-1","","","",""
"Beat","FA Division","Species","Extent  ha","Present status"
"Mahakudugala","Kurunduoya","Eucalyptus","14","Mature plantation"
"Mahakudugala","High forest","Eucalyptus","25.3","Mature plantations"
"Dixon’s corner","Ragala","Eucalyptus","34.7","Mature plantations"
