"Table 6.36: Estimated cost to be incurred for planting one hectare of tea lands","","","","",""
"Activity","Location","Number and Units","Unit Cost  LKR","Cost  LKR","Duration"
"Conduct awareness programs","St John estate,
Ragalawatta,","4","7,500","30,000","2024 and 2025"
"Establish forest protection action groups (With fire protection items)","St John estate,
Ragalawatta,","2","25,000","50,000","2025"
"Maintain forest boundaries","Kandapola-Seethaeliya forest","196 Boundary posts/
(4.9 Km)","220","86,240","2025 and 2028"
,"Mahakudugala forest","92 Boundary posts/
 (2.3 Km)","220","40,480","2025 and 2028"
"Erect display boards","St John estate,
Ragalawatta,
Rathnayakapura","3 Boards","20,000","60,000","2025"
"Distribute energy-efficient stows","St John estate,
Ragalawatta,
Rathnayakapura","150 units","500","75,000","2025"
,"Total","341720",,,
