"Table 5.3: Details of Reported landslides in MWS-125","","","","","","",""
"No","GN Division No","GN Division","Land Slides","Coordinates","NBRO Recommendation","Proposed Measures","NA"
,,,,"N or X","E or Y",,
"1","1147","Panvilathanna","No special issues reported",,,,
"2","1141","Masgolla","Earthen dam collapse to road, Morahena","7.156566","80.665726","NBRO is aware","It needs to follow the recommendations of NBRO"
"3","1138","Gurukele","No special issues reported",,,,
"4","1142","Hunugala","No special issues reported",,,,
"5","1134","Ududeniya","Landslide, Ududeniya","7.15029","80.674117","NBRO is aware","It needs to follow the recommendations of NBRO"
