"Table 5.4: Cost estimate of water source protection-related proposals","","","","","",""
"GND No","X Name of Spring and place","N","E","Observation","Description","X Amount  Rs"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1138","Gurukele 324 division - 'Akkara 80' catchment area","7.168002","80.630970","It borders privet lands.  Land is being illegally acquired because there are no boundaries. Cultivation have already been carried out in this reserve land.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","489,500.00"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1138","Catchment area of farm division","7.168782","80.635290","This is Rajamale canal reserve land. It borders privet lands.  Land is being illegally acquired because there are no boundaries. Cultivation have already been carried out in this reserve land.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","148,500.00"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1134","N.F. division 8th division","7.144298","80.675804","This is Dedikiriya oya reserve land. It borders privet lands.  Land is being illegally acquired because there are no boundaries. Cultivation have already been carried out in this reserve land.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","77,000.00"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
,,,,"Total",,"3,124,000.00"
