"Table 5.9:  Key activities proposed for water quality improvement in MWS-125","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","No  of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,,"N or X","E or Y",,,,,
"1","1147","Panvilathanna","Potential to add human waste - Maligamale Colony",,,"2",,,,,,,,
,,,"Potential to add human waste - Lorawattha",,,"1",,,,,,,,
,,,"Potential to add human waste - New Thirawanawattha",,,"3",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"2","1141","Masgolla","Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"3","1138","Gurukele","Potential to add human waste - Line house area at Karuwana upper division of Gurukele GND",,,"10",,,,,,,,
"4","1142","Hunugala","Potential to add human waste - Hunugala village and GK Estate",,,"6",,,,,,,,
"5","1134","Ududeniya","No special issues are reported",,,,,,,,,,,
,"Total",,,"100,000",,,,,,,,,,
