"Table 5.27:Three-year plan MWS-125","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2026","2027","2028",,,
,,"RP","DP","RP","DP","RP","DP"
"1147","Panvilathenna","0.5","0","0.5","0","0.5","0"
"1141","Masgolla","0.5","0","0.5","0","0.5","0"
"1138","Gurukele","0.5","0","0.5","0","0.5","0"
"1142","Hunugala","0.5","0","0.5","0","0.5","0"
"1134","Ududeniya","0.25","0","0.25","0","0.25","0"
,"Total","2.25","0","2.25","0","2.25","0"
