"Table 5.25: HEPA within MWS-008-2","","","",""
"X","Land use","Extent","Percentage","Population"
"1","Forests and associated lands","210","21.56","10 GNDs"
"2","Tea","92.2","9.46",
"3","Home gardens","415.8","42.69",
,"Total","718","73.71","8052"
