"Table 2.7: Occupational details of the community of MWS-008-2 (GN-wise)","","","","","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8","NA  9","NA  10","NA  11","NA  12"
,,"Executive Manager","Clerk","Technical","Defence Sector","Foreign employment","Masonry","Carpenter","Animal Husbandry","Business","Apparel","Labour","Agriculture","Landholding farmer","Others"
"1026","Nawaneliya","0","8","3","17","2","8","2","32","10","6","52","100","0","0"
"1027","Kiriwanaketiya","3","1","0","23","7","17","5","30","20","68","17","71","1","13"
"1028","Kotagepitiya","0","1","1","18","7","17","12","18","4","10","5","128","1","18"
"1029","Kolambissa East","0","6","0","5","2","4","5","15","9","17","79","157","0","27"
"1030","Kolambissa West","0","1","12","9","10","8","5","28","25","0","80","70","0","1"
"1031","Murapola East","0","2","2","28","3","2","0","48","8","35","90","226","0","10"
"1032","Murapola West","0","2","2","28","7","4","6","32","6","15","18","67","0","1"
"1033","Pattiyagama Pallegama","0","0","0","1","43","5","6","95","15","1","8","90","0","0"
"1036","Wanahapuwa1","0","3","1","0","26","7","0","50","3","2","90","65","15","10"
"1038","Bopitiya Nagaraya","0","1","5","7","22","10","3","20","9","21","35","30","0","0"
,"Total","3","25","26","136","129","82","44","368","109","175","474","1004","17","80"
