"Table 5.10: Detail summary of minor tank restoration and repair costs in MWS-008-2","","",""
"V1","V2","V3","V4"
"Tank name","Land ownership","Location details","Tentative Estimate (LKR)"
"Medihena Wewa","DAD","7.19354 E, 80.70804 N","2,225,520"
"Wanahapuwa Wewa","ID","7.19432 E, 80.70904 N","3,925,680"
"Bopitiya Wewa","DAD","7.19924 E, 80.71345 N","514,800"
,,,"6,666,000"
