"Table 2.5: GN-wise demographic details of the MWS-008-2","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"1026","Nawaneliya","170","206","342","318"
"1027","Kiriwanaketiya","198","250","427","413"
"1028","Kotagepitiya","137","169","280","270"
"1029","Kolambissa East","128","152","238","227"
"1030","Kolambissa West","120","167","249","238"
"1031","Murapola East","180","233","365","352"
"1032","Murapola West","144","182","284","269"
"1033","Pattiyagama Pallegama","277","358","860","736"
"1036","Wanahapuwa1","196","231","430","408"
"1038","Bopitiya Nagaraya","265","310","547","533"
,"Total","1815","2258","4022","3764"
