Tank name,Ownership,N,E,Remarks
Medihena Wewa,DAD,7.1758,80.727,Good Condition Recommended to improve reservation
Wanahapuwa Wewa,ID,7.1808,80.7183,Good Condition Recommended to improve reservation
Bopitiya Wewa,DAD,7.1859,80.7101,Good Condition Recommended to improve reservation and desilting
