"Table 5.1: Distribution of soil erosion hazard classes in MWS-008-2","","",""
"Category","Critical Range","Area  ha","Area"
"Very low","0-5 t ha-1 y-1","333.0","34.2%"
"Low","5-10 t ha-1 y-1","69.3","7.1%"
"Moderate","10-20 t ha-1 y-1","125.8","12.9%"
"High","20-50 t ha-1 y-1","201.1","20.7%"
"Very high",">50 t ha-1 y-1","244.7","25.1%"
