Activity,Location,Number of Units,Unit Cost (LKR),Cost (LKR),Duration
Conduct awareness programmes,Apple farm,2,"20,000","40,000",2025-2028
,Mahakudugala,,,,
Establish forest protection action groups,Apple farm,1,"20,000","20,000",2025
,Mahakudugala,,,,
Erect display boards,Apple farm,2,"20,000","40,000",2025
,Mahakudugala,,,,
Total,,,,"100,000",
