"Table 5.10: Total Cost Estimate for Stream Reservation Proposals","","","","","",""
"GND No","Name of the Torrent  Stream  Canal","Location N","Location E","Observed problems","Description","Amount  Rs"
"512","Belihul Oya","7.08509","80.78712","Soil erosion of the lands on both sides of the river.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","236,600"
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
"512","Hawariella Oya","7.067708","80.786231","Soil erosion of the lands on both sides of the river.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","179,400"
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
"512","Develop the Galthenna Oya reservation.",,,"This LRC land, covering 75 acres, contains Mana grasses and experiences man-made fires approx.. once a year.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","2,082,600"
,,,,,"Total","2,498,600"
