Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution (%) from line agency/ GoSL,Final cost to LA/ GoSL (Rs.)
 Paddy , Tray ,"Labuhenwala-1000, Ketayapathana- 65, Mathurata- 80, Metibembiya- 600, Wellagiriya- 85 ","1,830",80,"146,400",0.5,"73,200"
, Electric fence ,"Dunukebedda- 10, Labuhenwala- 15, Ketayapathana- 10, Metibembiya- 5 ",40,"36,000","1,440,000",0.5,"720,000"
 Vegetable , Capsicum ,"Labuhenwala-10, Ketayapathana- 8, Mathurata- 8, Metibembiya- 6, Wellagiriya- 8 ",40,"40/perches unit - 20g. 3,000","120,000",1,"120,000"
, Cabbage ,"Labuhenwala-8, Ketayapathana- 7, Mathurata- 6, Metibembiya- 5, Wellagiriya- 8 ",34,"40/perches unit - 20g. 6,000","204,000",1,"204,000"
, Beans ,"Labuhenwala-10, Ketayapathana- 8, Mathurata- 8, Metibembiya- 6, Wellagiriya- 8 ",40,"40/perches unit - 1500g. 4,500","180,000",1,"180,000"
, Tomato ,"Labuhenwala-10, Ketayapathana- 5, Mathurata- 8, Metibembiya- 6, Wellagiriya- 6 ",35,"40/perches unit - 10g. 6,000","210,000",1,"210,000"
 Fruits , Banana ,"Labuhenwala - 100, Mathurata-20, Dunukebedda-100, Goodwood- 80 ",300,120,"36,000",1,"36,000"
, Avocado ,"Labuhenwala - 100, Gonakele- 80, Goodwood-50, Dunukebedda-90 ",320,200,"64,000",1,"64,000"
, Mango ,"Labuhenwala - 100, Mathurata- 25, Goodwood-100 ",225,300,"67,500",1,"67,500"
, Papaya ,Labuhenwala - 200 ,200,100,"20,000",1,"20,000"
 Export Crops , Coffee ,"Dunukebedda- 250, Gonapitiya- 300, Labuhenwala- 400, Gonakele -200,","2,650",30,"79,500",1,"79,500"
,,"Metibembiya- 250, Goodwood- 200,",,,,,
,,"Wewathenna1- 150,Wellagiriya- 200, Merrygoll- 450Bomellagoda- 250 ",,,,,
, Pepper ,"Dunukebedda- 350, Gonapitiya- 300, Labuhenwala- 200, Gonakele -300,","2,550",40,"102,000",1,"102,000"
,,"Metibembiya- 250, Goodwood- 150, Wewathenna1- 300, Wellagiriya- 200,",,,,,
,,"Merrygoll- 250,Bomellagoda- 250 ",,,,,
 Livestock , No of cow ," Gonapitiya- 3, Gonakele- 2, Metibembiya- 3, Goodwood-3, Bomellagoda-3 ",14,"250,000","3,500,000",0.5,"1,750,000"
, No of goat ," Gonapitiya- 5, Gonakele- 3 ",16,"40,000","640,000",0.5,"320,000"
, No of chicks ," Dunukebedda- 50, Gonapitiya- 60, Labuhenwala- 40, Gonakele -60,",470,"1,500","705,000",0.5,"352,500"
,,"Metibembiya- 50, Goodwood- 50,",,,,,
,,"Wewathenna1- 50, Wellagiriya- 10, Merrygoll- 50Bomellagoda- 50 ",,,,,
, No of sheds - cow ," Gonapitiya- 2, Labuhenwala- 2, Gonakele- 2 Metibembiya- 3, Goodwood-2, Bomellagoda-1, Wewathenna1- 2 ",14,"300,000","4,200,000",0.5,"2,100,000"
, No of sheds - goat ," Gonapitiya- 4, Gonakele- 4 ",8,"150,000","1,200,000",0.5,"600,000"
 Protected Agriculture , Polytunnel ," Goodwood- 2, Bomellagoda- 2 ",4,"700,000","2,800,000",0.5,"1,400,000"
 Value added products , Bee keeping (Box 4000/= bees) ," Labuhenwala- 10, Ketayapathana-4 Gonakele -10,",59,"8,000","472,000",0.75,"354,000"
,,"Metibembiya- 10, Goodwood- 10,",,,,,
,,"Wewathenna1- 10,",,,,,
,,Bomellagoda- 5 ,,,,,
, Black Pepper making machines (Balancing kit) , Metibembiya- 1 Goodwood- 2,8,"10,000","80,000",0.5,"40,000"
,,Wewathenna1- 3,,,,,
,,Bomellagoda- 2 ,,,,,
, Curry powder grinding ," Ketayapathana- 2, Goodwood- 2 ",4,"120,000","480,000",0.5,"240,000"
 Total Cost ,,,,,"16,746,400",,"9,032,700"
