"Table 5.24: Dominant species found in the natural vegetation in Upper Mahaweli Watershed",""
"Forest characters upper area of MWS  700m","NA"
"Strata","Species"
"Canopy","Calophyllum walkeri (keena), Palaquium rubiginosum, Michelia nilagirica (wana sapu, kaatu shenbagam), Cinnamomum ovalifolium (wal kurundu, kaatu karuwa), Syzygium spp. Neotitsea fuscata (kudu davula), Adinandra lasiopetala, Mastixia Montana, Gordonia zeylanica (mihiriya), Ilex walkeri, and Elaeocarpus montanus"
"Sub-canopy","Actinodaphne spp., Symplocos spp., Syzygium spp., Glochidion pycnocarpum, Acronychia pedunculata and Eurya spp."
"Shrub","Myrsine robusta, Euonymus revolutus, Arundina debilis, Maesa indica, Eurya spp. and Memecylon spp. Psychotria spp., Lasianthus spp.’ Rhodomyrtus, Hedyotis spp., Osbeckia spp., Microtropis zeylanica and Berberis spp. Strobilanthes spp. (nelu)"
"Lianas and climbers","Toddalia asiatica, Elaeagnus latifolia, Piper zeylanica, Smilax zeylanica, Rubus spp."
"Herb","Exacum walker, (sudu binara), Disporum cantoniense and Arisaema leschenaultia various orchids and ferns."
"Forest characters lower area of MWS <700m",
"Emergent","Tetrameles nudiflora, Antiaris toxicaria and Pterygota thwaitesii"
"Canopy","Mangifera zeylanica, Pometia pinnata, Filicium decipiens, Hydnocarpus venenata, Pterospermum suberifolium, Haldinia cordifolia, Semecarpus sp., Dimocarpus longan, Vitex pinnata, Haldina cordifoila, Schleichera oleosa, Diospyros affinis, Caryota urens"
"Sub-canopy","Dimorphocalyx glabellus, Mallotus rhamnifolia, Mallotus eriocarpus Pagiantha dichotoma, Chukrasia tabularis, ficus callosa, Xylopia nigricans, Bridelia retusa, Grewia tiliifolia etc."
"Shrub","Dimorphocalyx glabellus, Mallotus rhamnifolia and Mallotus eriocarpus, Glycosmis petaphylla, Streblus taxoides, Memecylon capitallatum, Phyllanthus polyphyllus, Atalantia ceylanica etc."
"Lianas and climbers","Toddalia asiatica, Ventilago maderaspatana, Reissantia indica, Salacia reticulata, Annamirta cocculus, Schefflera stellata, Pothos scandens"
