Activity,Location,Number and Units,Unit Cost (LKR),Cost (LKR),Duration
Conduct awareness programmes,"Wellagiriya, ",10,"20,000","100,000",2025 and 2026
,"Wawethenna,",,,,
,"Matibambiya, Gonakele",,,,
,Gonapitiya,,,,
Establish forest protection action groups (With fire protection items),"Wellagiriya, ",5,"25,000","125,000",2025
,"Wawethenna,",,,,
,"Matibambiya, Gonakele",,,,
,Gonapitiya,,,,
Maintain forest boundaries,Wellagiriya forest,10 km/ 400 boundary posts,210,"168,000",2025 and 2028
,"Piduruthalagala conservation forest,",6.8 km/ 272 Boundary posts,220,"119,680",2025 and 2028
Erect display boards,"Wellagiriya, ",5 Boards,"20,000","100,000",2025
,"Wawethenna,",,,,
,"Matibambiya, Gonakele",,,,
,Gonapitiya,,,,
Distribute energy efficient stows,"Wellagiriya, ",250 units,500,"125,000",2025
,"Wawethenna,",,,,
,"Matibambiya, Gonakele",,,,
,Gonapitiya,,,,
Establish green belts with Hana,Wellagiriya,6 km,"125,000","750,000",2025
Maintenance of green belts with Hana,Wellagiriya,6 km,"90000
(5 times)","2,700,000",2026 - 2030
Forest restoration,Wellagiriya forest,"30 ha
(15 ha – 2026/ 15 ha -2027)","250,000","7,500,000",2026/2027
Maintenance of Reforested areas,Wellagiriya forest,30 ha,"200,000","6,000,000",2027-2031
Establish farmers woodlots,Hanguranketha beat,5 ha,"200,000","1,000,000",2026
Improve homesteads that practicing tourism,"Kolapathana ella
Mandaramnuwara",10 ha,"50,000","500,000",2025 - 2028
Enrichment Planting ,Diyabubula forest,5 ha,"150,000","750,000",2025-2030
Demarcation with boundary posts,Diyabubula forest,60 Boundary posts,"6,000","360,000",2028
Enrichment planting,Oluwa watta reservation,2 ha,"150,000","300,000",2027
Maintenance of Enriched lands,Oluwa watta reservation,2 ha,"200,000","400,000",2020-2031
Demarcation with boundary posts,Alagolla reservation,40 Boundary posts,"6,000","240,000",2027
Enrichment planting,Alagolla reservation,1 ha,"150,000","150,000",2027
Maintenance of Enriched lands,Alagolla reservation,1 ha,"200,000","200,000",2020-2031
Enrichment planting ,Gonakele,1 ha,"150,000","150,000",2027
Establish Fire belt with Hana,Gonapitiya Watta,3 Km,"200,000","600,000",2027
Maintenance of fire belt,Gonapitiya Watta,3 Km,"90,000","1,080,000",2028-2031
Reforestation of Landslide prone lands.,Katayapathana,5 ha,"300,000","1,500,000",2027
Maintenance of Reforested lands,Katayapathana,5 ha,"200,000","1,000,000",2028-2031
Enrichment planting,Galthenna Oya reservation,10 ha,"150,000","1,500,000",2028
Maintenance of Enriched lands,Galthenna Oya reservation,10 ha,"200,000","2,000,000",2029-2031
Total,,,,"29,417,680",
