No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (LKR),Sum of Costs (LKR),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
38,508,Ketayapathana,5. Soil conservation practices - Ketayapathana (75°),5,On,7.072368,80.806499,0.5 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"125,000",,Labor and other basic services by the Local community,0.25 Years
39,508,Ketayapathana,6. Soil conservation practices - Ketayapathana (70°),1,On,7.071226,80.8060099,0.5 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"125,000",,Labor and other basic services by the Local community,0.25 Years
40,508,Ketayapathana,7. Soil conservation practices - Ketayapathana (500m above from this point) (75°),5,On,7.070645,80.807439,0.25 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"62,500",,Labor and other basic services by the Local community,0.25 Years
41,508,Ketayapathana,8. Establishing a side/retaining wall - near Ketayapathana Udagama Road,4,Off,7.074577,80.804551,10.5 m x 3 m x 0.5 m,Retaining wall,"2,000 m-3","31,500","5,244,000",Labor and other basic services by the Local community,0.25 Years
42,512 E,Labuhenwala,1. Renovation of natural drains - Torrent at the Borahinna Pahala road,5,Off,7.05623,80.781108,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labor and other basic services by the Local community,0.25 Years
43,512 E,Labuhenwala,2. Renovation of natural drains - Diyanilla Ulpatha torrent,5,Off,7.056374,80.779216,50 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"5,000",,Labor and other basic services by the Local community/ Shramadana,0.25 Years
44,512 E,Labuhenwala,3. Renovation of natural drains - Aloka Bedda torrent,5,Off,7.05382,80.77881,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"30,000",,Labor and other basic services by the Local community/ Shramadana,0.25 Years
45,512 E,Labuhenwala,4. Renovation of natural drains - Torrent,1,Off,7.060161,80.77043,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
46,512 E,Labuhenwala,5. Renovation of natural drains - Rathmetiya torrent,5,Off,7.063351,80.780467,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
47,512 E,Labuhenwala,6. Renovation of natural drains - Moraketihena torrent,5,Off,7.059493,80.78085,700 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"70,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
48,512 E,Labuhenwala,7. Renovation of natural drains - Borahinna torrent,5,Off,7.057991,80.781822,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
49,512 E,Labuhenwala,8. Soil conservation practices - Borahinna land (70°),4,On,7.057046,80.779139,11.2 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"2,800,000",,Labor and other basic services by the Local community,0.5 Years
50,512 E,Labuhenwala,9. Soil conservation practices - Borahinna land (70°),3,On,7.056373,80.780016,8 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"2,000,000",,Labor and other basic services by the Local community,0.5 Years
51,512 E,Labuhenwala,10. Soil conservation practices - Borahinna land (65°),1,On,7.056348,80.781397,4 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"1,000,000",,Labor and other basic services by the Local community,0.25 Years
52,512 E,Labuhenwala,11. Soil conservation practices - Borahinna land (80°),5,On,7.056611,80.78287,2 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"500,000",,Labor and other basic services by the Local community,0.25 Years
53,512 E,Labuhenwala,12. Soil conservation practices - Labuhenwala (75°),1,On,7.060035,80.779355,60 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"15,000,000",,Labor and other basic services by the Local community,1.5 Years
54,512 E,Labuhenwala,13. Establishing a side wall,5,Off,7.058675,80.781456,30 m x 3.6 m x 0.5 m,Side/Retaining wall,"2,000 m-3","108,000",,Labor and other basic services by the Local community,0.5 Years
55,512 E,Labuhenwala,14. Establishing a side/retaining wall,5,Off,7.059493,80.78088,8 m x 1.8 m x 0.5 m,Side/Retaining wall,"2,000 m-3","14,400",,Labor and other basic services by the Local community,0.25 Years
56,512 E,Labuhenwala,15. Establishing a side wall at the middle of the school's land,1,Off,7.055506,80.778424,30 m x 7.5 m x 0.5 m,Side/Retaining wall,"2,000 m-3","225,000",,Labor and other basic services by the Local community,0.5 Years
57,512 E,Labuhenwala,16. Establishing a side wall,1,Off,7.055506,80.778424,30 m x 1.2 m x 0.5 m,Side/Retaining wall,"2,000 m-3","36,000","22,288,400",Labor and other basic services by the Local community,0.25 Years
58,509,Mathurata,1. Renovation of natural drains - Digaredi Kadura,4,Off,7.077146,80.801525,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labor and other basic services by the Local community,0.5 Years
59,509,Mathurata,2. Renovation of natural drains - Ampitiya Oya,5,Off,7.0722402,80.802659,100 m,Clearing and planting some trees along the banks and other conservation practices,,"10,000",,Labor and other basic services by the Local community,0.25 Years
60,509,Mathurata,3. Soil conservation practices - Danda Arawa (75°),5,On,7.073061,80.802389,16 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"4,000,000",,Labor and other basic services by the Local community,0.5 Years
