Tank name,Custodianship,N,E,Remarks
Wellagiri Wewa,DAD,7.05151,80.78579,"Minor repairs to the bund, Tree planting, Testing the water quality, Bund rehabilitation"
No 5 Wewa,DAD,7.0656,80.8187,"Desilting the tank, Bund-Curtain wall, Connect the nearby stream to the tank"
Maha Wewa,DAD,7.06741,80.79766,"Repair the Passerelle, Repair the right bank sluice gate and others, Extend the bund RB-5m, "
