No,Activity,Number of trainings,Duration in Days,Total # of Participants,Total cost (RS),Con. From DSD(RS),Project Con. (RS),Proposed training Partner
1,Project Awareness and Orientation Program (7 MWS),Budget was allocated under MWS-015 (Mathurata),,,,,,PMU
2,Training of Trainers (for selected officers at DSD level),Budget was allocated under MWS-015 (Mathurata),,,,,,DOA/TBD
3,Water Management Training for the Development officer of DAD in Nuwara Eliya District,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,, DAD/ KITI 
4,Agriculture productivity improvement training for ARPAs and EDOs,Budget was allocated under MWS-015 (Mathurata),,,,,,NRMC+ DEA
5,Good Practices in Agrochemicals and Fertilizer application for ARPAs and EDOs,Budget was allocated under MWS-015 (Mathurata),,,,,,DOA/ NRMC /University 
6,Climate Change Adaptation Training for MWMC (including technical committee members),1,1,31,"72,190","2,500","69,690",DOA/ University 
7,Construction Supervisory – Basic Training for Economic Development Officers,Budget was allocated under MWS-015 (Mathurata),,,,,,District Engineer of District Secretariat 
8,Water Quality Parameters and Testing Training for EDO ,Budget was allocated under MWS-015 (Mathurata),,,,,,NWSDB/ NRMC
9,Forest Fire Prevention and Control Training for officers of Forest Department,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
10,Use of RS and GIS in Watershed management for Officers of Forest Department at Nuwara Eliya District,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
11,Forest Restoration training for officers of Forest Department at Nuwara Eliya District,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
12,Integrated Watershed Management training for Officers of Forest Department at Nuwara Eliya District,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
13,Domestication and use of wild species for watershed management for officers of Forest Department at Nuwara Eliya District,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
14,Training for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers (Mathurata DSD),Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,DOA/  NRMC /University 
15,Training EDOs and SDO to conduct cascading training on Financial Literacy and Household Money Management (ToT),Budget was allocated under MWS-015 (Mathurata),,,,,,CBSL Matale Regional office/CBSL HO 
Training for Communities,,,,,,,,
16,"Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND",14,1,700,"1,451,800",-,"1,451,800",Agriculture Park DoA
17,Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND,14,1,700,"940,800",-,"940,800",NRMC/DOA
18,Good Practices in Agrochemicals and fertilizer application and Integrated Pest Management for GPC Community Members and Identified Farmers -One training/GND,14,1,700,"926,100",-,"926,100",DOA
19,Important of Home Garden Improvement for watershed management (All 7 MWM in Mathurata DSD),Budget was allocated under MWS-015 (Mathurata),,,,,,Forest Department
20,Field Day for Soil and Water Conservation Practice and Method for GPC community leaders and Farmers,14,1,700,"518,000",-,"518,000","AI, AR&PA and EDO/NRMC"
21,"Field Day For Best Practices of Usage of Pesticide, Integrated Pest Control and Fertilizer Application for GPC community members and identified farmers. One training/GND",14,1,700,"518,000",-,"518,000","AI, ARPA and EDO"
22,Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD,14,1,700,"926,800",-,"926,800",DOA/NRMC
23,Green Skill and Green Technology Concept for Youth and GPC members ,14,1,560,"1,040,200","35,000","1,005,200",DOA
24,Climate Change Adaptation training for GPC and selected farmers,14,1,700,"826,000",-,"826,000","AI, EDO"
25,Conduct Field Day on Climatic Training Adaptation,14,1,700,"490,000",-,"490,000",AI and EDO
26,Forest Fire Prevention and Control GPC and community members,14,1,700,"1,136,800",,"1,136,800",Forest Department
27,Responsible use of water resources for GPC/GWMC and community members,14,1,700,"1,136,800",,"1,136,800",Forest Department
28,Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Hanguranketha DSD),26,1-2 Hours,Budget is not required,,,,
29,Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs),14,1,700,"646,800",,"646,800", EDOs and SDO
30,Conduct Refresher Training on Household Money Management for GPC and Community Members ,14,1,700,"449,400",,"449,400",EDO and SDO
31,Career Guidance & Career Fair Event (Mathurata DSD) ,Budget was allocated under MWS-015 (Mathurata),,,,,,Skills Development Officer & Human Resources Development Assistant of DSD
32,Gender and Social Inclusion Training ,2,1,112,"141,880","5,000","136,880",TBD
33,Community Training - livelihood and Marketing,,,,"765,000",,"765,000",
,Total Estimated budget ,,,,"11,986,570","42,500","11,944,070",
