"Table 5.28: Forest Plantation with exotic species in the MWS-017","","","",""
"Species","Beat","FA Division","Extent  ha","Present status"
"Pinus","Hanguranketha","Kurunduoya/
Mandaramnuwara","23.9","Mature plantation"
"Eucalyptus","Hanguranketha","Kurunduoya/
Mandaramnuwara","193.3","Mature plantations"
