"Table 2.5: GN-wise demographic details of the MWS-017","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"508D","Ampitigoda","196","212","342","290"
"508E","Bomellagoda","61","77","110","129"
"508A","Dunukebedda","106","134","222","182"
"508B","Gonakele","162","168","333","365"
"508F","Gonapitiya","700","1163","2475","2234"
"512C","Goodwood","183","214","339","323"
"508","Ketayapathana","68","80","133","137"
"512E","Labuhenwala","143","145","222","229"
"509","Mathurata","258","268","441","435"
"509A","Merrygoll","150","158","254","201"
"512A","Metibembiya","145","172","243","228"
"508C","Udagama","94","94","149","147"
"512","Wellagiriya**","138","166","246","226"
"512F","Wewathenna1","79","110","159","163"
,"Total","2483","3161","5668","5289"
