"Table 5.27: Forest reserves and their protection status in MWS-017","","","","",""
"Forest reserve","Total Extent","Peripheral length  Km","Gazette No","Gazette date","Length of boundary demarcated with concreate posts   Km"
"Piduruthalagala
(Conservation forest)","4,200","6.8","1527","14.12.2007","6.8"
"Wellagiriya
(Other estate forest)","101.41","11.05","-","-","11.05"
