"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-017","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","508 D","Ampitigoda","1. Soil conservation practices - Ampitigoda (85°)","5","7.070117","80.793198","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Soil conservation practices - Ampitigoda (80°)","5","7.069952","80.793095","4.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Soil conservation practices - Wellagiriya (80°)","5","7.070439","80.793133","1.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","300,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Soil conservation practices - Ampitigoda (80°)","5","7.070982","80.793539","5.6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,400,000","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Ampitigoda (70°)","5","7.070907","80.79353","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"6. Soil conservation practices - Ampitigoda (80°)","3","7.070767","80.795192","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"7. Soil conservation practices - Paddy Lands (70°)","5","7.073968","80.794958","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","14,400,000",,,,,,,,,,,
"2","508 E","Bomellagoda","5. Soil conservation practices - Ampitigoda  (65°)","4","7.070277","80.795083","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","62,500","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Ampitigoda (60°)","5","7.070119","80.795173","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","62,500","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices - Bomellagoda  (50°)","5","7.066747","80.797789","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"8. Soil conservation practices - Bomellagoda  (50°)","4","7.062552","80.800675","0.5","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","2,750,000",,,,,,,,,,,
"3","508 A","Dunukebedda","No special issues are reported.",,,,,,,,,
"4","508 B","Gonakele","3. Soil conservation practices - Gonakele  (60°)","5","7.060785","80.822117","4.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,200,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Alagollawatta (60°)","1","7.056581","80.811240","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"5. Soil conservation practices - Alagollawatta (60°)","4","7.061038","80.807827","54 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","13,500,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","19,700,000",,,,,,,,,,,
"5","508 F","Gonapitiya","1. Soil conservation practices - Gonapitiya watta (50°)","5","7.049334","80.794207","36 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","9,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices - Gonapitiya watta (70°)","5","7.050267","80.794091","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","9,500,000",,,,,,,,,,,
"6","512 C","Goodwood","5. Soil conservation practices - Goodwood middle part (65°)","5","7.05027","80.789839","44 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","11,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"6. Soil conservation practices - Goodwood Pinus area (3km above from this point) (70°)","5","7.05027","80.789839","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"7. Soil conservation practices - Goodwood (70°)","4","7.051591","80.789964","70 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","17,500,000","Labour and other basic services by the Local community","1.5 Years"
,,,"8. Soil conservation practices - Goodwood (80°)","5","7.053282","80.790024","1.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","312,500","Labour and other basic services by the Local community","0.25 Years"
,,,"9. Soil conservation practices - Goodwood (50°)","1","7.05299","80.787941","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"10. Soil conservation practices - Goodwood (75°)","5","7.053521","80.789014","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","62,500","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","31,000,000",,,,,,,,,,,
"7","508","Ketayapathana","4. Soil conservation practices - Ketayapathana (70°)","5","7.073222","80.80608","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","1 Year"
,,,"5. Soil conservation practices - Ketayapathana (75°)","5","7.072368","80.806499","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Ketayapathana (70°)","1","7.071226","80.8060099","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices - Ketayapathana (500m above from this point) (75°)","5","7.070645","80.807439","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","62,500","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","4,312,500",,,,,,,,,,,
"8","512 E","Labuhenwala","8. Soil conservation practices - Borahinna land (70°)","4","7.057046","80.779139","11.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,800,000","Labour and other basic services by the Local community","0.5 Years"
,,,"9. Soil conservation practices - Borahinna land (70°)","3","7.056373","80.780016","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"10. Soil conservation practices - Borahinna land (65°)","1","7.056348","80.781397","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"11. Soil conservation practices - Borahinna land (80°)","5","7.056611","80.78287","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"12. Soil conservation practices - Labuhenwala (75°)","1","7.060035","80.779355","60 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","15,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","21,300,000",,,,,,,,,,,
"9","509","Mathurata","3. Soil conservation practices - Danda Arawa (75°)","5","7.073061","80.802389","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Danda Arawa (70°)","4","7.074691","80.803043","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Danda Arawa (75°)","2","7.0735198","80.7935959","3.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","5,300,000",,,,,,,,,,,
"10","509 A","Merrygoll","5. Soil conservation practices - Gonampitiya watta (Merrygol lDivision) (60°)","5","7.0682426","80.8088988","100 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","25,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","25,000,000",,,,,,,,,,,
"11","512 A","Metibembiya","3. Soil conservation practices - Kekunawatta (60°)","1","7.069226","80.782734","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - near the Metibembiya temple (70°)","4","7.068403","80.782817","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Galpottawala (65°)","1","7.067384","80.783221","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"6. Soil conservation practices - Galpottawala (70°)","1","7.066505","80.784557","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices - Udakanda Galpottawa (80°)","5","7.06641","80.783146","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","4,500,000",,,,,,,,,,,
"12","508 C","Ketayapathana Udagama","6. Soil conservation practices - Ketayapathana Udagama (60°)","3","7.069504","80.805431","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"7. Soil conservation practices - Ketayapathana Udagama (70°)","5","7.068243","80.806226","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"8. Soil conservation practices - Ketayapathana Udagama (60°)","1","7.067124","80.804883","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"9. Soil conservation practices - Ketayapathana Udagama (60°)","1","7.065315","80.803403","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"10. Soil conservation practices - Ketayapathana Udagama (80°)","5","7.063257","80.803261","1.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","312,500","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","6,562,500",,,,,,,,,,,
"13","512","Wellagiriya","3. Soil conservation practices - Etamagodawatta (65°)","4","7.073599","80.78923","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Udaarawa (65°)","2","7.072729","80.790123","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Udaarawa (70°)","5","7.072157","80.790728","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","3,750,000",,,,,,,,,,,
"14","512 F","Wewathenna","4. Soil conservation practices - Wewathenna reservation (40°)","1","7.059137","80.788257","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"5. Soil conservation practices - Wewathenna (70°)","5","7.061991","80.788524","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Wewathenna (60°)","5","7.062709","80.789366","3.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","875,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices - Wewathenna (40°)","5","7.062469","80.791701","36 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","9,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"8. Soil conservation practices - Wewathenna reservation (65°)","1","7.062661","80.791995","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","1 Year"
