"Table 2.7: Occupational details of the community of MWS-017 (GN-wise)","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8"
,,"Government","Semi Government","Private","Self-Occupied","Estate Worker","Agriculture","Laborer","Foreign Employment","Other","Unemployed"
"508D","Ampitigoda","35","51","40","6","0","80","10","3","15","15"
"508E","Bomellagoda","8","1","38","4","0","95","18","0","0","20"
"508A","Dunukebedda","18","3","32","3","0","92","0","0","0","16"
"508B","Gonakele","25","6","41","5","35","160","48","4","0","29"
"508F","Gonapitiya","0","0","150","15","1600","250","90","20","0","1,006"
"512C","Goodwood","37","0","65","3","0","168","10","2","0","138"
"508","Ketayapathana","22","15","22","5","0","72","0","0","0","148"
"512E","Labuhenwala","34","0","16","10","0","0","0","3","0","5"
"509","Mathurata","110","6","210","3","0","400","12","2","31","100"
"509A","Merrygoll","10","5","72","5","20","66","15","0","0","0"
"512A","Metibembiya","31","1","61","18","0","111","12","2","0","14"
"508C","Udagama","30","0","48","10","0","0","0","0","0","0"
"512","Wellagiriya**","37","1","20","10","0","189","0","4","0","141"
"512F","Wewathenna1","8","6","12","0","0","69","0","0","0","14"
,"Total","405","95","827","97","1655","1752","215","40","46","1646"
