"Table 5.5: Details of minor tanks available in MWS-017","","",""
"Tank name","Custodianship","Location details","Remarks"
"Wellagiri Wewa","DAD","7.05151N, 80.78579E","Minor repairs to the bund, Tree planting, Testing the water quality, Bund rehabilitation"
"No 5 Wewa","DAD","7.0656N, 80.8187E","Desilting the tank, Bund-Curtain wall, Connect the nearby stream to the tank"
"Maha Wewa","DAD","7.06741N, 80.79766E","Repair the Passerelle, Repair the right bank sluice gate and others, Extend the bund RB-5m,"
