Species,Beat,FA Division,Extent (ha),Present status
Pinus,Hanguranketha,Kurunduoya/ Mandaramnuwara,23.9,Mature plantation 
Eucalyptus,Hanguranketha,Kurunduoya/ Mandaramnuwara,193.3,Mature plantations
