"Table 2.7: Occupational details of the community of MWS-009 (GN-wise)","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8"
,,"Government","Semi Government","Private","Self-Occupied","Estate worker","Agriculture","Laborer","Foreign employment","Other","Unemployed"
"499","Bambaragama","25","2","34","14","-","59","13","5","-","52"
"499E","Bambaragama East","21","2","16","21","-","-","-","2","-","13"
"499F","Bambaragama West","33","4","27","74","2","68","45","1","-","16"
"500","Bowala","120","7","72","16","-","45","-","5","18","30"
"499C","Daraoya","39","6","93","8","4","112","21","3","-","38"
"503","Gannewa Udugama","43","-","70","10","-","100","65","4","-","25"
"499A","Handawalapitiya","32","18","74","21","15","212","70","8","-","52"
"501G","Hope*","16","56","776","64","493","270","342","27","-","51"
"500A","Kithulpe","64","6","38","68","-","95","31","4","-","14"
"503A","Malanwatta","59","3","50","12","-","89","-","2","1","12"
"500B","Medagama","37","-","24","6","250","84","-","-","-","71"
"500C","Warapitiya","26","1","5","10","-","45","-","1","15","-"
"499D","Wetesthenna","13","-","11","5","-","59","9","4","1","72"
,"Total","528","105","1,290","329","764","1,238","596","66","35","446"
