"Table 5.19: Deforestation and degradation drivers in the MWS-009","","","","","",""
"Forest reserve","Rank value of Deforestation and Degradation","NA","NA  1","NA  2","NA  3","NA  4"
,"Forest fires","Encroachments","Over grassing","Cutting for firewood","Land slides","Illegal felling"
"Piduruthalagala conservation forest","1","3","-","2","-","-"
"Warakalawita other state forest","1","2","-","-","-","-"
"Watasthenna forest reserve","1","-","2","-","3","-"
"Karamidula forest reserve","1","5","2","3","6","4"
