Forest reserve,Rank value of Deforestation and Degradation,,,,,
,Forest fires,Encroachments,Over grassing,Cutting for firewood,Land slides,Illegal felling
Piduruthalagala conservation forest,1,3,-,2,-,-
Warakalawita other state forest,1,2,-,-,-,-
Watasthenna forest reserve,1,-,2,-,3,-
Karamidula forest reserve,1,5,2,3,6,4
