"Table 2.6: Age group categorization of the population of MWS-009 (GN-wise)","","","","","","","","","","","","","",""
"GND No","GND Name","X0 4","X5 9","X10 14","X15 19","X20 24","X25 29","X30 34","X35 39","X40 44","X45 49","X50 54","X55 59","Above 60 years"
"499","Bambaragama","19","21","31","34","33","20","28","28","26","20","30","27","75"
"499E","Bambaragama East","24","19","46","25","32","29","28","33","39","35","27","29","97"
"499F","Bambaragama West","46","41","43","30","34","52","57","48","28","22","29","41","90"
"500","Bowala","29","52","37","35","54","47","49","33","45","39","44","37","160"
"499C","Daraoya","26","26","28","27","32","41","29","31","39","33","31","39","87"
"503","Gannewa Udugama","26","26","28","27","32","41","29","31","39","33","31","39","87"
"499A","Handawala-pitiya","47","53","52","53","64","67","49","51","50","49","52","50","146"
"501G","Hope*","341","336","337","339","338","308","270","266","258","248","223","198","456"
"500A","Kithulpe","34","52","67","56","48","47","42","65","56","46","47","38","116"
"503A","Malanwatta","25","29","32","32","39","38","26","27","22","29","33","26","73"
"500B","Medagama","26","32","40","42","40","46","55","46","33","30","45","48","114"
"500C","Warapitiya","13","15","14","26","24","25","21","18","20","19","24","27","54"
"499D","Wetesthenna","17","33","43","34","25","21","18","31","46","37","22","21","75"
,"Total","673","735","798","760","795","782","701","708","701","640","638","620","673"
