GN Division,Tourist Attractions
Bowala ,Kuda Oya
Bambaragama West,"Galpille Oya, Bokutuwe Viharaya"
Dara Oya,Daraoya
Gannewa Udugama,Gurugal Oya
Kithulpe,"Mul Oya, Hiran Ella, Kithulpe Rajamaha Viharaya"
Malanwatta,Gurugal Oya
Warapitiya,Darawa Oya
Wetesthenna ,Wetesthenna Dara Oya
Handawalapitiya,Nai Wanguwa
Hope Estate,Natural Water Pool in Hope
