"Table 5.5: Cost estimate of minor irrigation related proposals with locations","","","","","",""
"GND No","X Name of the Irrigation System","N","E","Observation","Description","Amount  Rs"
"670","Hadaliyadda Anicut and canal","7.332830","80.694310","the column is damaged (H-1.5 m W-0.6m)and it is to be reconstructed. The total length of the canal is 1000m, of which 500m is concreted. The rest is an earthen canal. 10 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingancies 10%","1,045,000.00"
"670","Kavisi anga canal","7.33625","80.68739","The total length of the canal is 800m, of which 200m is concreted. The rest is an earthen canal.09 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingancies 10%","1,045,000.00"
"670","Thotupala canal","7.332600","80.69348","The total length of the earthen canal is 1000m.  8 Acres of lands is cultivated from this canal.","Dry rubble packing (with locally found rubble, size over 225mm )Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingancies 10%","803,000.00"
"671","Ihala gammedda","7.33571","80.69608","The path  is concreted R.H.S edge is occurred to erosion","Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall MiscellaneousContingancies 10%","1,980,000.00"
,,,,,"Total","4,873,000.00"
