"Table 5.17: Tentative estimate for the rehabilitation of Nikaulpatha Wewa","","","","",""
"SI","Description","Unit","Qty","X Rate","X Amount  LKR"
"1","supplying & fixing 9\" dia. Cast iron gates & Hoist complete","Nos","1","122,506","147,007"
"2","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","m2","250","534","160,200"
"3","Removing silt from tank bed depth up to 9\"-18\"","m3","112.5","1,155","155,926"
"4","Minor repairs to the Sluice & Spill","Item","Allow","Sum","30,000"
"5","Miscellaneous","Item","Allow","Sum","10,867"
,"Contingencies (10%)","50,400",,,
,"Total","554,400",,,
