"Table 5.2: Key ON- FARM activities proposed for soil and water conservation in MWS-019","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"2. Soil conservation practices - Welapahala (80°)","4","7.121763","80.804497","12","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Galpotukatiya (70°)","4","7.117711","80.802318","2","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Galpotukatiya (60°)","5","7.115734","80.800868","4","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","6,000,000",,,,,,,,,,,
"9","482","Denike","1. Soil conservation practices - Denike (70°)","3","7.13922","80.785539","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Denike (50°)","1","7.141567","80.786847","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","750,000",,,,,,,,,,,
"10","482 A","Udalumada","1. Soil conservation practices - Walamulla Ela Uda Paththa (85°)","1","7.132995","80.778627","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Udalumada (70°)","1","7.135385","80.784652","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Meda Pathana (60°)","1","7.129497","80.777878","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","625,000","Labour and other basic services by the Local community","0.25 Years"
