"Table 5.10: Tentative cost estimate for the rehabilitation of Dehigolla Wewa","","","","",""
"SI","Description","Unit","Qty","Rate","Amount  LKR"
"1","Desilting by PC 20 or 30 Excavator in a loose soil without pontoon cutting depth 300mm","m2","600","174","125,280"
"2","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","m2","1000","534","640,800"
,"Contingencies (10%)","76,608",,,
,"Total","842,688",,,
