"Table 5.3: Key OFF- FARM activities proposed for soil and water conservation in MWS-019","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
,,,"4. Renovation of natural drains - Waliwetiya torrent","4","7.113232","80.800824","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Waliwetiya Seasonal Canal","5","7.111568","80.800883","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","600,000",,,,,,,,,,
"9","482","Denike","1. Renovation of natural drains - Torrent near Denike Pihilla","1","7.138354","80.782258","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Torrent near Uda Aswedduma Paddyfield","3","7.139217","80.785588","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","150,000",,,,,,,,,,
"10","482 A","Udalumada","1. Renovation of natural drains - Ilangamuwa torrent","4","7.129874","80.780365","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Renovation of natural drains - Kalagolla torrent","1","7.132995","80.778627","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Ilangamuwa mala Kandura","4","7.129874","80.780365","50 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","5,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Establishing a wall - Near T.G. Wimaladasa's house","3","7.131206","80.784051","12 m x 3 m","Retaining Wall (Concrete)","1,402,500","By the project","0.25 Years"
"Sub Total","1,537,500",,,,,,,,,,
"11","482 B","Welampagoda","1. Renovation of natural drains - Hunukotuwa Seasonal Canal","2","7.13642","80.783335","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Renovation of natural drains - Humantharawa torrent","3","7.135171","80.78586","100 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","10,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Renovation of natural drains - torrent near the road (Infront of the School)","1","7.135457","80.784574","30 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","3,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Renovation of natural drains - Galpotta Uyana torrent(Arawa)","1","7.134637","80.784841","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Renovation of natural drains - Torrent across the Dedunu ela","4","7.131791","80.785455","750 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","75,000","Labour and other basic services by the Local community","0.5 Years"
,,,"6. Renovation of natural drains - Urundeniya torrent","5","7.133972","80.781437","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","60,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Establishing a side wall - Denike junction","4","7.134308","80.787164","10 m x 2 m","Retaining Wall (Masonary)","440,000","By the project","0.25 Years"
"Sub Total","688,000",,,,,,,,,,
"12","482 C","Udawela Pathana","1. Renovation of natural drains - Wewa landa torrent 1","4","7.141032","80.778963","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Wewa landa torrent 2","5","7.141434","80.77944","1.1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","110,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Buwella torrent","5","7.141238","80.779809","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Udawela patana torrent","3","7.141218","80.782291","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Establishing a wall - Buwella","3","7.141601","80.779634","13 m x 3 m","Retaining Wall (Concrete)","1,518,000","By the project","0.25 Years"
"Sub Total","1,928,000",,,,,,,,,,
