"Table 5.15: Tentative cost estimate for the rehabilitation of Dewale Wewa","","","","",""
"SI","Description","Unit","Qty","Rate","Amount  LKR"
"1","Removing silt from tank bed depth up to 9\"-18\"","m3","90","1,155","124,740"
"2","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","m2","500","534","320,400"
"3","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","m","100","470","56,400"
"4","Providing a locking arrangement for sluice gate","Item","Allow","Sum","3,660"
,"Contingencies (10%)","50,520",,,
,"Total","555,720",,,
