SI,Description,Unit,Qty,Rate,Amount (LKR) 
1,Desilting by PC 20 or 30 Excavator in a loose soil without pontoon cutting depth 300mm,m2,540,174,"93,960"
2,Rehabilitation of 15m tank bund,,,,
2.1,Earth excavation from borrow area by Excavator and forming tank bund ,m3,100,"1,272","127,200"
2.2,"Turfing to new earth including cutting, laying, pegging and watering",m2,67.05,422,"28,295"
3,Construction of 0.9m Dia headwall type sluice with lifting arrangement complete set,Item,Allow,Sum,"500,000"
4,Miscellaneous works,Item,Allow,Sum,"50,545"
,Total,,,,"800,000"
