Activity,Location,Number and Units,Unit Cost (LKR) ,Cost (LKR) ,Duration
Conduct awareness programs,Dimbulkumbura,4,"20,000","80,000",2024 and 2025
,Mahapitiya,,,,
Establish forest protection action groups (With fire protection items) ,Dimbulkumbura,2,"25,000","50,000",2025
,Mahapitiya,,,,
Maintain forest boundaries,Diyathalakanda forest,2.25 km/,210,"37,800",2025 and 2028
,,90 Boundary Posts,,,
Erect display boards,Dimbulkumbura,2 Boards,"20,000","40,000",2025
,Mahapitiya,,,,
Distribute energy efficient stows,Dimbulkumbura,100 units,500,"50,000",2025
,Mahapitiya,,,,
Establish green belts and hedges,Okandagala Pathana,4 km,"125,000","500,000",2025
Maintenance of green belts and hedges,Okandagala Pathana,4 km,"90,000","1,800,000",2026 - 2030
,, (5 times) ,,,
Conversion of pine into broad leaves species,"Hanguranketha 7-3, 7-04 and 7-7 sub blocks",22 ha,"250,000","5,500,000",2026
Maintenance of converted plantations into broad leaved species,Malulla and Mandaram Nuwara FA Divisions,22 ha,"200,000","4,400,000",2027-2030
Home garden development,Dimbulkumbura,100 units,"5,000","100,000",2026
,Mahapitiya,,,,
Planting of medicinal plants ,Nadumale reservation ,2 ha,"150,000","300,000",2026-2030
Forest restoration,Udawela Pathana,2 ha,"300,000","600,000",2026
Total,,,,"13,458,000",
