SI,Description,Unit,Qty,Rate,Amount (LKR) 
1,Desilting by PC 20 or 30 Excavator in a loose soil without pontoon cutting depth 300mm,m2,300,174,"52,200"
2,Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence,m,120,"2,470","296,400"
3,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",m2,500,534,"267,000"
4, Miscellaneous works ,Item,Allow,Sum,"35,000"
,Total,,,,"650,600"
