"Table 5.50: Proposed interventions MWS-019","","","","",""
"Activity","Location","Number and Units","Unit Cost  LKR","Cost  LKR","Duration"
"Conduct awareness programmes","Dimbulkumbura
Mahapitiya","4","35,000","140,000","2026 and 2028"
"Establish forest protection action groups (With fire protection items)","Dimbulkumbura
Mahapitiya","2","35,000","70,000","2025"
"Maintain forest boundaries","Diyathalaakanda forest (2.25 km)","90 Boundary Posts","900","81,000","2025 and 2028"
"Erect display boards","Dimbulkumbura
Mahapitiya","2 Boards","38,500","77,000","2025"
"Distribute energy efficient stows","Dimbulkumbura
Mahapitiya","100 units","1,100","110,000","2025"
"Establish green belts and hedges or Hana","Okandagala pathana","3 km","382,980","1,148,940","2026- 2027"
"Conversion of pine into broad leaves species","Hanguranketha 7-3, 7-04 and 7-7 sub blocks","22 ha","550,400","12,108,800","2026- 2030"
"Home garden development","Dimbulkumbura
Mahapitiya","100 units","5,000","100,000","2026"
"Planting of medicinal plants","Nadumale reservation","2 ha","250,000","4500,000","2026-2030"
"Enrichment Planting","Udawela Pathana","2 ha","670,560","1,341,120","2026 -2030"
"Total",,,,"19,676,860",
