"Table 5.19: Tentative estimate for the rehabilitation of Gonawatta Pahala Wewa","","","","",""
"SI","Description","Unit","Qty","Rate","Amount  LKR"
"1","Desilting by PC 20 or 30 Excavator in a loose soil without pontoon cutting depth 300mm","m2","180","174","37,584"
"2","Construction of 0.9m Dia headwall type sluice with lifting arrangement complete set","Item","Allow","Sum","600,000"
"3","Miscellaneous works","Item","Allow","Sum","130,416"
,"Contingencies (10%)","76,800",,,
,"Total","844,800",,,
