SI,Description,Unit,Qty,Rate,Amount (LKR) 
1,"Removing silt from tank bed depth up to 9""-18""",m3,225,"1,155","259,875"
2,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",m2,250,534,"133,500"
3,Removing anthills & Pot-hole filling along the bund,Item,Allow,Sum,"25,000"
4,Minor repairs to the Sluice & Spill,Item,Allow,Sum,"25,000"
5,Miscellaneous,Item,Allow,Sum,"6,625"
,Total,,,,"450,000"
