"Table 5.30: Three year plan MWS-016","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2025","2026","2027",,,
,,"RP","DP","RP","DP","RP","DP"
"512 I","Hunukotuwa","1","1.5","1.5","1.5","1","1"
"512 H","Malsara Nuwara","1","2","1","2","1","1"
"512 B","Mandaram Nuwara","1.5","1","2","1","1","1"
"512 G","Medawela","1","1.5","1","2","1","1"
"512 D","Udawela","1","1","0.5","1.5","0.5","1"
,"Total","5.5","7","6","8","4.5","5"
