Implementation Activity,Duration (Months),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
Survey & Estimation for proposals,,,,,,,,,,,,
Public awareness and obtaining their concurrence for proposals,,,,,,,,,,,,
Procurement of necessary planting materials locally and outside,,,,,,,,,,,,
Vegetation & Construction activities,,,,,,,,,,,,
Public awareness on maintenance,,,,,,,,,,,,
"Certificate of Completion, Taking Over & Settlement of payments",,,,,,,,,,,,
