"Table 2.7: Occupational details of the community of MWS-016 (GN-wise)","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8"
,,"Government","Semi Government","Private","Self-Occupied","Estate worker","Agriculture","Laborer","Foreign employment","Other","Unemployed"
"512I","Hunukotuwa","14","1","68","20","0","185","10","2","0","10"
"512H","Malsara Nuwara","24","2","64","14","0","260","0","0","0","0"
"512B","Mandaram Nuwara","8","14","12","2","0","402","113","0","0","68"
"512G","Medawela","29","8","42","1","0","225","0","0","0","3"
"512D","Udawela1","15","3","5","0","0","554","104","4","0","0"
,"Total","90","28","191","37","0","1626","227","6","0","81"
