No.,GN Division No.,GN Division,Non-point sources of pollution,N or X,E or Y,Point sources of pollution,Add.N or X,Add.E or Y,Recommended water quality improvement measures,Unit Cost (Rs.),Total Cost (Rs.),"Contributions (Local Community, LA, Project)",Time frame for the implementation
1,512 I,Hunukotuwa,No special issues reported,,,,,,,,,,
2,512 H,Malsara Nuwara,No special issues reported,,,,,,,,,,
3,512 B,Mandaram Nuwara,Addition of household wastes/garbage - Near the Mandaram Nuwara school,7.035341,80.783318,,,,Preparing a separate place in home gardens for disposing household waste,,"50,000.00",Local/Central governments,0.5 Years
4,513 B,Mandaram Nuwara,Addition of household wastes/garbage - Discarding waste to Belihul Oya,7.035391,80.783318,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost
Facilitating garbage collection",,,,
5,512 G,Medawela,No special issues reported,,,,,,,,,,
6,512 D,Udawela,No special issues reported,,,,,,,,,,
Grand Total,,,,,,,,,,,"50,000.00",,
