Crop,Potential value-added product
Pepper,Black pepper
,White pepper
,Pepper oil
Spices,Essential oil from cloves
за Cloves,
за Ginger,Sliced and packed ginger and turmeric
за Turmeric,
Vanilla,Vanilla pods and Vanilla extract
