"Table 5.7: Estimate for rehabilitation of Oruthota Thenna Wewa in Doluwa GND (1155)","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and hauling the surplus materials up to 1.6 km distance by machinery. (This rate is excluding of transporting of machinery)","768,960.00"
"2","Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)","108,600.00"
"3","Transporting of earth moving machinery","20,000.00"
"4","Miscellaneous","2,440.00"
,"CIVIL COST","900,000.00"
"5","Contingencies 10%","90,000.00"
,"TOTAL COST","990,000.00"
